title,artists,year,youtube_query
We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",2022,"We Don't Talk About Bruno Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast"
Die For You,The Weeknd & Ariana Grande,2023,Die For You The Weeknd & Ariana Grande
First Person Shooter,Drake Featuring J. Cole,2023,First Person Shooter Drake Featuring J. Cole
Flowers,Miley Cyrus,2023,Flowers Miley Cyrus
I Remember Everything,Zach Bryan Featuring Kacey Musgraves,2023,I Remember Everything Zach Bryan Featuring Kacey Musgraves
Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,2023,Is It Over Now? (Taylor's Version) [From The Vault] Taylor Swift
Last Night,Morgan Wallen,2023,Last Night Morgan Wallen
Like Crazy,Jimin,2023,Like Crazy Jimin
Lose Control,Teddy Swims,2023,Lose Control Teddy Swims
Lovin On Me,Jack Harlow,2023,Lovin On Me Jack Harlow
Paint The Town Red,Doja Cat,2023,Paint The Town Red Doja Cat
Rich Men North Of Richmond,Oliver Anthony Music,2023,Rich Men North Of Richmond Oliver Anthony Music
Seven,Jung Kook Featuring Latto,2023,Seven Jung Kook Featuring Latto
Slime You Out,Drake Featuring SZA,2023,Slime You Out Drake Featuring SZA
Try That In A Small Town,Jason Aldean,2023,Try That In A Small Town Jason Aldean
Vampire,Olivia Rodrigo,2023,Vampire Olivia Rodrigo
A Bar Song (Tipsy),Shaboozey,2024,A Bar Song (Tipsy) Shaboozey
Die With A Smile,Lady Gaga & Bruno Mars,2024,Die With A Smile Lady Gaga & Bruno Mars
Fortnight,Taylor Swift Featuring Post Malone,2024,Fortnight Taylor Swift Featuring Post Malone
Hiss,Megan Thee Stallion,2024,Hiss Megan Thee Stallion
I Had Some Help,Post Malone Featuring Morgan Wallen,2024,I Had Some Help Post Malone Featuring Morgan Wallen
Like That,"Future, Metro Boomin & Kendrick Lamar",2024,"Like That Future, Metro Boomin & Kendrick Lamar"
Love Somebody,Morgan Wallen,2024,Love Somebody Morgan Wallen
Luther,Kendrick Lamar & SZA,2024,Luther Kendrick Lamar & SZA
Not Like Us,Kendrick Lamar,2024,Not Like Us Kendrick Lamar
Please Please Please,Sabrina Carpenter,2024,Please Please Please Sabrina Carpenter
Squabble Up,Kendrick Lamar,2024,Squabble Up Kendrick Lamar
Texas Hold 'Em,Beyonce,2024,Texas Hold 'Em Beyonce
Too Sweet,Hozier,2024,Too Sweet Hozier
We Can't Be Friends (Wait For Your Love),Ariana Grande,2024,We Can't Be Friends (Wait For Your Love) Ariana Grande
"Yes, And?",Ariana Grande,2024,"Yes, And? Ariana Grande"
4X4,Travis Scott,2025,4X4 Travis Scott
DTMF,Bad Bunny,2025,DTMF Bad Bunny
Daisies,Justin Bieber,2025,Daisies Justin Bieber
Evil J0rdan,Playboi Carti,2025,Evil J0rdan Playboi Carti
Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",2025,"Golden HUNTR/X: EJAE, Audrey Nuna & REI AMI"
I'm The Problem,Morgan Wallen,2025,I'm The Problem Morgan Wallen
Jingle Bell Rock,Bobby Helms,2025,Jingle Bell Rock Bobby Helms
Just In Case,Morgan Wallen,2025,Just In Case Morgan Wallen
Manchild,Sabrina Carpenter,2025,Manchild Sabrina Carpenter
Nokia,Drake,2025,Nokia Drake
Opalite,Taylor Swift,2025,Opalite Taylor Swift
Ordinary,Alex Warren,2025,Ordinary Alex Warren
The Fate Of Ophelia,Taylor Swift,2025,The Fate Of Ophelia Taylor Swift
What Did I Miss?,Drake,2025,What Did I Miss? Drake
What I Want,Morgan Wallen Featuring Tate McRae,2025,What I Want Morgan Wallen Featuring Tate McRae
